Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
1,14.4030054,Si1,0.504457417,Si1,1.351974252,2.177480305,1,451.1424865,916.7147143,-0.000350925,0.044567507,1332.955958,134.000001,94.9,Initial
2,14.90789813,Si1,0.549540979,Si1,2.642394944,1.787474521,1,431.4329144,538.9130314,-0.000363548,0.044716343,1341.339405,169.000001,94.5,
3,10.70219176,Si1,0.876237523,Si1,1.657999209,1.664449727,1,377.783906,703.7643878,0.026615689,0.038502308,1033.336124,143.000001,82.9,
4,9.277227738,Si1,1.211448606,Si1,2.543938484,2.42540283,0,336.3691273,282.5199847,-0.000668342,0.055374813,871.2643327,186.7,76.1,
5,13.88514749,Si1,0.708211121,Si1,2.843611137,2.21911424,1,412.7974615,668.1009903,-0.001013936,0.030756066,1216.364805,195.000001,93.1,
6,14.45889967,Si1,1.003030175,Si1,2.999787974,1.72359812,0,401.9500636,277.9786148,0.002466258,0.055231155,1197.645034,238.3,97.1,
7,13.33534914,Si1,0.792727938,Si1,1.969203664,1.975665307,1,412.2865544,792.2907573,0.023669062,0.034044541,1222.357589,180.000001,91.8,
8,9.711760907,Si1,0.513741627,Si1,2.896365883,1.209815956,1,369.5111908,593.1825765,0.000233644,0.040420412,1005.118725,114.000001,76.9,
9,14.6034658,Si1,1.849575612,Si1,1.279083666,2.497886544,0,382.6814224,269.577313,0.000355937,0.05515713,1094.939165,237.7,94.5,
10,8.871051147,Si1,0.739229422,Si1,1.618180107,2.291143164,1,362.8462977,653.338085,-0.000212626,0.042312624,931.5141542,112.000001,74.9,
11,14.98731777,Si1,1.578348137,Si1,2.494534358,0.742598557,0,378.5229739,260.5301258,0.000365533,0.055164975,1142.559396,234.5,103.4,
12,11.90366821,Si1,0.573073028,Si1,1.410814098,2.489698147,1,414.2164946,794.7020064,-0.002019092,0.042977813,1152.382785,121.000001,88.2,
